,Amount missing,Persentage missing
"PreInt_DevHx,skill_range_10",1523,100.0
"PreInt_EduHx,imaginativeplay",1523,100.0
"PreInt_EduHx,listenmusic",1523,100.0
"PreInt_EduHx,reading",1523,100.0
"PreInt_DevHx,skill_range_16",1523,100.0
"PreInt_EduHx,religion",1523,100.0
"PreInt_DevHx,skill_range_15",1523,100.0
"PreInt_EduHx,shopping",1523,100.0
"PreInt_EduHx,sports",1523,100.0
"PreInt_EduHx,tvmovies",1523,100.0
"PreInt_EduHx,videocomputergames",1523,100.0
"PreInt_DevHx,skill_no_16",1523,100.0
"PreInt_DevHx,skill_range_07",1523,100.0
"PreInt_DevHx,skill_range_05",1523,100.0
"PreInt_DevHx,skill_range_04",1523,100.0
"PreInt_DevHx,skill_range_03",1523,100.0
"PreInt_DevHx,skill_range_02",1523,100.0
"PreInt_DevHx,skill_range_01",1523,100.0
"PreInt_DevHx,skill_no_05",1523,100.0
"PreInt_EduHx,instrument",1523,100.0
"PreInt_DevHx,skill_no_15",1523,100.0
"PreInt_EduHx,homework",1523,100.0
"ESWAN,Panic_A02",1523,100.0
"PreInt_EduHx,grades",1523,100.0
"PreInt_EduHx,clubsorganizations",1523,100.0
"PreInt_EduHx,crafts",1523,100.0
"PreInt_EduHx,dancing",1523,100.0
"ESWAN,Panic_A01",1523,100.0
"PreInt_EduHx,computerinternet",1523,100.0
"ESWAN,Panic_A03",1523,100.0
"PreInt_DevHx,skill_range_17",1522,99.93434011818779
"PreInt_DevHx,skill_no_07",1522,99.93434011818779
"PreInt_DevHx,skill_no_06",1522,99.93434011818779
"PreInt_DevHx,skill_no_10",1522,99.93434011818779
"PreInt_DevHx,skill_range_08",1522,99.93434011818779
"PreInt_DevHx,skill_range_11",1522,99.93434011818779
"PreInt_DevHx,skill_range_12",1521,99.86868023637557
"PreInt_DevHx,skill_range_14",1521,99.86868023637557
"PreInt_DevHx,skill_range_09",1520,99.80302035456336
"PreInt_DevHx,skill_range_13",1520,99.80302035456336
"PreInt_DevHx,skill_range_06",1519,99.73736047275115
"PreInt_DevHx,skill_no_03",1519,99.73736047275115
"PreInt_DevHx,skill_no_12",1518,99.67170059093894
"PreInt_DevHx,skill_no_11",1517,99.60604070912672
"PreInt_DevHx,skill_no_14",1517,99.60604070912672
"PreInt_EduHx,friendsout",1513,99.34340118187788
"PreInt_EduHx,friendsathome",1510,99.14642153644124
"PreInt_DevHx,skill_age_01",1501,98.55548260013131
"PreInt_DevHx,skill_no_08",1495,98.16152330925804
"PreInt_DevHx,skill_no_13",1474,96.78266579120157
"PreInt_DevHx,skill_age_11",1471,96.58568614576494
"PreInt_DevHx,skill_age_02",1469,96.4543663821405
"PreInt_DevHx,skill_age_08",1467,96.32304661851609
"PreInt_DevHx,skill_age_10",1466,96.25738673670388
"PreInt_DevHx,skill_age_05",1464,96.12606697307945
"PreInt_DevHx,skill_age_09",1458,95.73210768220616
"PreInt_DevHx,skill_age_04",1454,95.46946815495733
"PreInt_DevHx,skill_age_03",1427,93.69665134602758
"PreInt_DevHx,skill_no_09",1414,92.84307288246882
"PreInt_DevHx,apgar5",1414,92.84307288246882
"PreInt_DevHx,apgar1",1408,92.44911359159553
"PreInt_DevHx,skill_age_07",1393,91.46421536441235
"PreInt_DevHx,menstruation_age",1340,87.98424162836507
"PreInt_DevHx,skill_age_16",1253,82.27183191070256
"SRS,SRS_46",1065,69.92777413000657
"PreInt_EduHx,yrs_school",1048,68.81155613919894
"PreInt_DevHx,menstruation",1010,66.31648063033487
"PreInt_EduHx,number_schools",1000,65.65988181221275
"PreInt_DevHx,skill_age_17",963,63.23046618516087
"CBCL,CBCL_113C",892,58.56861457649376
"PreInt_DevHx,skill_age_13",823,54.038082731451084
"CBCL,CBCL_113B",803,52.72488509520683
"PreInt_DevHx,skill_age_15",786,51.60866710439921
"PreInt_DevHx,puberty_age",684,44.91135915955351
"CBCL,CBCL_113A",654,42.94156270518713
"PreInt_DevHx,skill_age_12",654,42.94156270518713
"PreInt_DevHx,skill_age_14",624,40.97176625082074
"PreInt_DevHx,labor_dur",524,34.40577806959947
"PreInt_EduHx,getalongkids_neighborhood",316,20.748522652659226
"PreInt_DevHx,skill_age_06",274,17.990807616546288
"PreInt_EduHx,absent_skipping",271,17.793827971109653
"PreInt_DevHx,hospital_dur",265,17.399868680236374
"PreInt_DevHx,birthweight_ozs",264,17.334208798424164
"PreInt_EduHx,absent_other",257,16.874589625738672
"PreInt_EduHx,absent_late",252,16.54629021667761
"PreInt_EduHx,absent_ill",244,16.021011162179907
"PreInt_EduHx,recent_grades",224,14.707813525935654
"PreInt_DevHx,premature",181,11.884438608010505
"SDQ,SDQ_27",164,10.76822061720289
