,Output,Examples outside 1sd out of 1239
7,"WISC,WISC_PSI",387
2,"PreInt_EduHx,recent_grades",235
5,"CIS_P,CIS_P_Score",221
6,"CIS_SR,CIS_SR_Total",208
1,"IAT,IAT_Total",204
0,"PCIAT,PCIAT_Total",201
3,"WHODAS_P,WHODAS_P_Total",199
4,"WHODAS_SR,WHODAS_SR_Score",171
