,Output,Examples outside 1sd out of 1440
7,"WISC,WISC_PSI",434
2,"PreInt_EduHx,recent_grades",270
5,"CIS_P,CIS_P_Score",250
0,"PCIAT,PCIAT_Total",246
1,"IAT,IAT_Total",240
3,"WHODAS_P,WHODAS_P_Total",238
6,"CIS_SR,CIS_SR_Total",230
4,"WHODAS_SR,WHODAS_SR_Score",220
