,"CIS_P,CIS_P_Score"
1,0.27881414577283387
2,0.4144205128998382
3,0.4869897655763492
4,0.5306367096621828
5,0.5625291268963647
6,0.5890989119063912
7,0.6126631833091751
8,0.6268146442634767
9,0.63766736218448
10,0.6452612350567781
11,0.6575728823509712
12,0.6619899545946153
13,0.6707594016455545
14,0.6813284802397649
15,0.6878886593368676
16,0.6911807419667362
17,0.6956646942680299
18,0.7012298006923429
19,0.7054926777422947
20,0.710342021339379
21,0.7118987996817866
22,0.7173456445100039
23,0.719470896189564
24,0.7196724285008378
25,0.7225987672948967
26,0.723997303307838
27,0.7266988469856233
